PERGUNTA,OPÇÃO 1,OPÇÃO 2,OPÇÃO 3,OPÇÃO 4,RESPOSTA CORRETA
Qual é a capital do Brasil?,Rio de Janeiro,São Paulo,Brasília,Salvador,3
Qual é o maior planeta do sistema solar?,Marte,Vênus,Júpiter,Saturno,3
Quem pintou a Mona Lisa?,Michelangelo,Rafael,Leonardo da Vinci,Donatello,3
Qual é o maior oceano do mundo?,Oceano Atlântico,Oceano Índico,Oceano Ártico,Oceano Pacífico,4
Quantos ossos um adulto tem no corpo humano?,200,206,210,216,2
Qual é o símbolo químico para o ouro?,Au,Ag,Fe,Cu,1
"Quem escreveu ""Dom Quixote""?",William Shakespeare,Miguel de Cervantes,Jane Austen,Charles Dickens,2
Qual é o maior animal terrestre do mundo?,Girafa,Hipopótamo,Elefante Africano,Rinoceronte,3
Em que ano a Segunda Guerra Mundial terminou?,1942,1945,1950,1939,2
Qual é a montanha mais alta do mundo?,K2,Monte Kilimanjaro,Monte Everest,Monte McKinley,3
